090106 (22000): 03b231ce-dcf4-46cd-97c2-0a9892df4934: Cannot perform operation. This session does not have a current schema. Call 'USE SCHEMA', or use a qualified name.
"file","status","rows_parsed","rows_loaded","error_limit","errors_seen","first_error","first_error_line","first_error_character","first_error_column_name"
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1968Q4","LOADED","161","161","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1970Q4","LOADED","233","233","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1972Q2","LOADED","287","287","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1974Q1","LOADED","350","350","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1975Q2","LOADED","395","395","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1977Q3","LOADED","476","476","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1980Q2","LOADED","575","575","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1981Q2","LOADED","611","611","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1983Q2","LOADED","683","683","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1985Q1","LOADED","746","746","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1986Q3","LOADED","800","800","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1987Q4","LOADED","845","845","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1989Q3","LOADED","908","908","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1991Q1","LOADED","962","962","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1993Q1","LOADED","1034","1034","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1994Q3","LOADED","1088","1088","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2002Q4","LOADED","1385","1385","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2004Q2","LOADED","1439","1439","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2005Q3","LOADED","1484","1484","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2006Q3","LOADED","1520","1520","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2008Q1","LOADED","1574","1574","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2009Q2","LOADED","1619","1619","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2010Q2","LOADED","1655","1655","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2012Q2","LOADED","1727","1727","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2013Q2","LOADED","1763","1763","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2014Q2","LOADED","1799","1799","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2015Q3","LOADED","1844","1844","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE2016Q3","LOADED","1880","1880","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1968Q1","LOADED","134","134","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1970Q1","LOADED","206","206","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1971Q3","LOADED","260","260","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1973Q2","LOADED","323","323","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1974Q3","LOADED","368","368","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1976Q4","LOADED","449","449","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1978Q4","LOADED","521","521","1","0","","","",""
"s3://tpcdi-pipeline-testing/tpcdi-files/load/finwire/FINWIRE1979Q4","LOADED","557","557","1","0","","","",""
